gene;pLI;oe_mis_upper;oe_lof_upper;mis_z
CLK2;1,00;0,79;0,27;2,55
CLK3;0,97;0,80;0,51;2,49
CLK4;0,00;0,82;0,87;1,95
CLMN;0,00;0,94;0,76;1,31
CLMP;0,00;0,94;0,79;1,10
CLN3;0,00;0,96;1,02;0,98
CLN5;0,00;1,05;1,20;0,28
CLN6;0,00;1,01;1,02;0,56
CLN8;0,00;1,18;1,18;-0,60
CLNK;0,00;1,10;1,31;-0,04
CLNS1A;0,16;0,91;0,78;1,06
CLOCK;0,97;0,90;0,50;1,65
CLP1;0,00;0,68;0,86;3,29
CLPB;0,00;0,90;0,64;1,64
CLPP;0,01;1,07;0,94;0,13
CLPS;0,00;1,11;1,42;0,15
CLPSL1;0,00;1,34;1,87;-0,70
CLPSL2;0,08;1,33;1,36;-0,58
CLPTM1;1,00;0,73;0,40;3,54
CLPTM1L;0,00;0,99;0,74;0,74
CLPX;0,49;0,86;0,59;1,76
CLRN1;0,00;1,16;1,17;-0,37
CLRN2;0,00;1,02;1,19;0,51
CLRN3;0,01;1,13;1,17;-0,06
CLSPN;0,38;0,89;0,51;2,10
CLSTN1;1,00;0,91;0,34;1,80
CLSTN2;0,00;0,94;0,58;1,31
CLSTN3;0,86;0,88;0,51;2,12
CLTA;0,94;1,14;0,55;-0,13
CLTB;0,88;0,94;0,57;0,98
CLTC;1,00;0,40;0,10;10,23
CLTCL1;0,00;0,95;0,99;1,46
CLU;0,00;0,87;0,72;1,74
CLUAP1;0,00;1,11;1,23;-0,20
CLUH;0,00;1,10;0,80;-0,95
CLVS1;0,99;0,82;0,47;1,95
CLVS2;0,00;0,75;0,97;2,25
CMA1;0,00;1,42;1,58;-2,05
CMAS;0,83;0,82;0,57;1,89
CMBL;0,11;1,09;0,78;0,12
CMC1;0,07;1,33;1,91;0,17
CMIP;1,00;0,92;0,19;1,51
CMKLR1;0,02;0,92;1,36;1,23
CMPK1;0,18;0,93;0,90;0,93
CMPK2;0,00;1,41;1,71;-2,62
CMSS1;0,00;1,04;1,02;0,42
CMTM1;0,01;0,98;1,04;0,76
CMTM2;0,00;0,92;1,31;1,13
CMTM3;0,25;1,14;0,80;-0,10
CMTM4;0,01;1,07;1,14;0,24
CMTM5;0,00;1,06;1,25;0,25
CMTM6;0,02;1,18;1,32;-0,18
CMTM7;0,34;1,02;0,76;0,50
CMTM8;0,03;1,07;1,14;0,29
CMTR1;1,00;0,64;0,44;4,68
CMTR2;0,00;1,01;1,01;0,45
CMYA5;0,00;0,96;0,81;1,73
CNBD1;0,00;1,47;1,78;-1,36
CNBP;0,95;0,53;0,54;3,13
CNDP1;0,00;0,96;0,94;0,97
CNDP2;0,00;0,99;0,92;0,67
CNEP1R1;0,11;1,95;1,94;-0,60
CNFN;0,00;1,29;1,46;-0,57
CNGA1;0,00;0,96;0,78;1,00
CNGA3;0,00;1,01;1,13;0,51
CNGA4;0,00;0,97;0,92;0,86
CNGB1;0,00;1,06;0,94;-0,27
CNGB3;0,00;1,07;1,04;-0,15
CNIH1;0,09;1,11;1,13;0,24
CNIH2;0,69;0,62;0,65;2,37
CNIH3;0,01;0,96;0,98;0,79
CNIH4;0,58;1,11;0,82;0,22
CNKSR1;0,00;0,94;1,07;1,24
CNKSR3;0,00;0,98;0,67;0,80
CNMD;0,00;1,03;1,23;0,37
CNN1;0,00;0,84;0,81;1,75
CNN2;0,00;1,05;1,01;0,23
CNN3;1,00;0,70;0,43;2,77
CNNM1;0,04;0,82;0,62;2,42
CNNM2;1,00;0,64;0,31;5,02
CNNM3;0,00;1,23;1,23;-1,72
CNNM4;0,00;0,80;0,79;2,96
CNOT1;1,00;0,56;0,06;9,16
CNOT11;0,77;0,88;0,58;1,65
CNOT2;1,00;0,55;0,21;3,21
CNOT3;1,00;0,71;0,06;3,78
CNOT6;1,00;0,64;0,32;3,88
CNOT7;1,00;0,56;0,26;3,15
CNOT8;0,05;0,58;0,78;3,14
CNOT9;0,96;0,50;0,52;3,69
CNP;1,00;0,87;0,38;1,74
CNPPD1;0,00;1,04;1,04;0,27
CNPY2;0,00;0,97;1,04;0,76
CNPY3;0,00;0,97;0,88;0,78
CNPY4;0,00;1,11;1,33;-0,06
CNR1;0,32;0,70;0,69;3,26
CNR2;0,05;0,90;1,53;1,38
CNRIP1;0,00;1,18;1,18;-0,28
CNST;0,00;1,03;0,79;0,34
CNTD1;0,52;0,91;0,62;1,20
CNTF;0,00;1,18;1,56;-0,40
CNTFR;0,91;0,95;0,55;1,02
CNTLN;0,00;1,36;1,43;-3,77
CNTN1;1,00;0,82;0,43;2,74
CNTN2;0,02;0,80;0,54;3,30
CNTN3;0,00;0,91;0,67;1,61
CNTN4;0,00;1,00;0,73;0,64
CNTN5;0,00;1,11;0,73;-0,81
CNTN6;0,00;1,34;1,32;-3,45
CNTNAP1;0,00;0,79;0,58;3,85
CNTNAP2;0,00;1,02;0,72;0,27
CNTNAP3B;0,03;0,51;0,70;4,09
CNTNAP4;0,00;1,25;0,83;-2,63
CNTNAP5;0,00;1,01;0,63;0,46
CNTRL;0,00;0,93;0,83;1,77
CNTROB;0,00;0,90;0,88;1,76
COA1;0,00;1,15;1,84;0,00
COA3;0,00;1,09;1,69;0,24
COA4;0,00;0,98;1,74;0,69
COA5;0,00;1,38;1,85;-0,34
COA6;0,01;1,41;1,07;-1,10
COA7;0,04;0,90;0,87;1,23
COA8;0,00;1,33;1,31;-1,07
COASY;0,00;1,03;0,79;0,27
COBL;0,00;1,02;0,64;0,34
COBLL1;0,00;1,02;0,66;0,34
COCH;0,00;0,92;0,90;1,37
COG1;0,00;0,96;0,72;1,13
COG2;0,00;0,96;0,72;1,01
COG3;1,00;0,85;0,31;1,86
COG4;0,00;1,05;0,81;0,00
COG5;0,00;1,12;1,03;-0,54
COG6;0,00;1,05;1,06;0,21
COG7;0,00;0,94;0,65;1,30
COG8;0,00;0,99;1,26;0,66
COIL;0,00;1,01;0,76;0,48
COL10A1;0,02;1,06;0,86;0,02
COL11A1;1,00;0,97;0,35;1,01
COL11A2;0,00;0,84;0,50;3,40
COL12A1;1,00;0,86;0,38;3,57
COL13A1;0,00;1,07;0,89;-0,13
COL14A1;0,00;0,89;0,67;2,42
COL15A1;0,00;0,97;0,76;1,04
COL16A1;0,00;0,93;0,79;1,75
COL17A1;0,00;0,99;0,91;0,80
COL18A1;0,00;1,24;1,00;-2,83
COL19A1;0,00;1,00;0,88;0,60
COL1A1;1,00;0,68;0,16;5,79
COL1A2;1,00;0,81;0,34;3,55
COL21A1;0,00;1,10;1,34;-0,40
COL22A1;0,00;1,09;1,01;-0,72
COL23A1;0,00;1,24;1,32;-1,48
COL24A1;0,00;1,01;0,96;0,46
COL25A1;0,00;0,96;1,03;0,97
COL26A1;0,00;1,20;1,15;-0,97
COL27A1;0,00;0,97;0,54;1,23
COL28A1;0,00;1,13;1,12;-0,71
COL2A1;1,00;0,71;0,18;5,39
COL3A1;1,00;0,74;0,29;4,61
COL4A1;1,00;0,74;0,24;4,99
COL4A2;0,00;0,89;0,62;2,41
COL4A3;0,00;0,89;0,71;2,46
COL4A4;0,00;0,90;0,61;2,23
COL5A1;1,00;0,80;0,09;4,20
COL5A2;1,00;0,82;0,11;3,37
COL5A3;0,00;1,07;0,81;-0,57
COL6A1;0,00;1,02;0,71;0,40
COL6A2;0,00;1,11;0,90;-0,91
COL6A3;0,00;0,94;0,56;2,11
COL7A1;0,00;0,85;0,69;4,06
COL8A1;0,01;0,84;0,68;2,38
COL8A2;0,00;1,03;1,14;0,29
COL9A1;0,00;1,04;0,89;0,12
COL9A2;0,00;1,04;0,82;0,16
COL9A3;0,00;1,21;1,03;-1,64
COLEC10;0,01;1,07;1,08;0,24
COLEC11;0,00;0,85;1,17;1,60
COLEC12;0,36;0,90;0,60;1,57
COLGALT1;0,00;1,04;1,02;0,21
COLGALT2;0,00;0,99;0,80;0,66
COLQ;0,00;1,09;0,90;-0,17
COMMD10;0,00;1,97;1,81;-2,14
COMMD2;0,00;1,07;1,61;0,29
COMMD3;0,00;1,27;1,33;-0,84
COMMD4;0,00;1,09;0,98;0,12
COMMD5;0,00;0,89;1,75;1,25
COMMD6;0,11;1,97;1,54;-1,42
COMMD7;0,00;1,00;1,15;0,59
COMMD8;0,00;1,23;1,37;-0,31
COMMD9;0,00;1,03;1,51;0,43
COMP;0,00;0,92;1,07;1,51
COMT;0,00;0,98;1,13;0,74
COMTD1;0,00;1,44;1,87;-1,96
COP1;0,92;1,15;0,56;-0,35
COPA;1,00;0,70;0,10;4,80
COPB1;1,00;0,82;0,27;2,57
COPB2;1,00;0,75;0,18;3,47
COPE;0,00;1,11;0,76;-0,18
COPG1;1,00;0,78;0,38;3,25
COPG2;0,01;1,14;1,13;0,11
COPRS;0,04;1,17;0,97;-0,21
COPS2;1,00;0,52;0,14;3,08
COPS3;1,00;0,69;0,35;2,92
COPS4;1,00;0,59;0,30;3,24
COPS5;1,00;0,45;0,22;3,91
COPS6;1,00;0,75;0,37;2,49
COPS7A;0,00;0,75;0,78;2,28
COPS7B;0,97;0,81;0,52;1,81
COPS8;0,42;0,98;0,76;0,68
COPS9;0,00;1,23;1,85;-0,04
COPZ1;0,99;0,90;0,44;1,03
COPZ2;0,00;1,16;1,37;-0,11
COQ10A;0,00;1,07;1,52;0,20
COQ10B;0,50;1,18;1,15;-0,03
COQ2;0,00;1,28;1,03;-1,23
COQ3;0,00;1,03;1,05;0,38
COQ4;0,00;1,10;1,65;-0,08
COQ5;0,00;1,03;0,81;0,41
COQ6;0,00;0,96;0,97;0,98
COQ7;0,00;1,09;1,25;0,08
COQ8A;0,00;1,10;1,00;-0,50
COQ8B;0,00;0,95;0,92;1,12
COQ9;0,00;1,04;1,04;0,34
CORIN;0,00;0,97;1,04;0,97
CORO1A;0,71;0,72;0,57;3,07
CORO1B;0,00;1,00;0,79;0,61
CORO1C;1,00;0,72;0,38;2,94
CORO2A;0,00;0,91;0,90;1,44
CORO2B;0,02;0,74;0,63;2,98
CORO6;0,00;1,06;1,18;0,09
CORO7;0,00;1,16;1,09;-1,33
CORT;0,25;1,30;1,39;-0,60
COTL1;0,00;1,36;1,86;-1,04
COX10;0,00;0,91;0,93;1,40
COX11;0,02;0,94;0,79;1,03
COX14;0,22;1,16;1,20;0,16
COX15;0,00;0,87;1,20;1,67
COX16;0,00;1,16;1,37;0,00
COX17;0,42;1,27;1,33;-0,01
COX18;0,00;1,26;1,68;-1,12
COX19;0,00;1,70;1,91;-1,26
COX20;0,06;1,92;1,93;-1,45
COX4I1;0,00;1,16;1,15;-0,21
COX4I2;0,00;1,07;1,08;0,23
COX5A;0,65;1,09;0,82;0,27
COX5B;0,50;1,14;0,77;0,02
COX6A1;0,02;1,24;1,36;-0,26
COX6A2;0,00;1,94;1,91;-2,73
COX6B1;0,99;0,81;0,42;1,30
COX6B2;0,00;1,32;1,61;-0,56
COX6C;0,33;1,15;1,23;0,20
COX7A1;0,00;1,27;1,92;-0,28
COX7A2L;0,00;1,38;1,77;-0,97
COX7B2;0,12;1,26;1,77;-0,27
COX7C;0,66;1,04;1,02;0,52
COX8A;0,00;0,96;1,92;0,74
COX8C;0,17;1,74;1,88;-1,23
CP;0,00;0,92;0,62;1,61
CPA1;0,00;0,91;1,14;1,36
CPA2;0,00;1,03;1,28;0,41
CPA3;0,00;1,20;1,18;-0,70
CPA4;0,00;0,92;1,09;1,18
CPA5;0,00;0,94;1,11;1,06
CPA6;0,00;1,11;1,34;-0,08
CPAMD8;0,00;1,00;0,83;0,69
CPB1;0,00;0,98;1,17;0,78
CPB2;0,00;0,89;1,37;1,25
CPD;0,00;0,90;0,63;1,99
CPE;0,83;0,95;0,57;1,03
CPEB1;1,00;0,78;0,18;2,68
CPEB2;0,00;1,42;1,33;-3,92
CPEB3;0,60;0,93;0,59;1,29
CPEB4;1,00;0,72;0,29;3,47
CPED1;0,00;1,03;1,14;0,33
CPLANE1;0,00;0,90;0,73;2,73
CPLANE2;0,00;1,02;1,65;0,46
CPLX1;0,44;1,38;0,76;-1,21
CPLX2;0,70;0,91;0,68;1,04
CPLX3;0,00;0,94;1,19;0,90
CPLX4;0,00;1,08;1,73;0,27
CPM;0,00;0,80;1,02;2,14
CPN1;0,00;0,96;1,01;1,00
CPN2;0,20;0,95;1,83;1,10
CPNE1;0,00;0,99;1,01;0,68
CPNE2;0,00;0,85;0,77;2,04
CPNE3;0,00;1,10;1,39;-0,02
CPNE4;0,88;0,70;0,54;3,24
CPNE5;0,00;0,82;0,70;2,42
CPNE7;0,00;1,48;1,52;-4,00
CPNE8;0,00;1,02;0,96;0,50
CPNE9;0,00;0,90;0,86;1,60
CPO;0,00;0,99;1,62;0,65
CPOX;0,00;1,04;0,80;0,24
CPPED1;0,00;1,27;1,29;-1,35
CPQ;0,00;0,96;1,08;0,92
CPS1;0,00;0,92;0,76;1,75
CPSF1;0,00;0,91;0,74;2,04
CPSF2;0,00;0,72;0,65;3,43
CPSF3;0,00;0,64;1,01;3,58
CPSF4;0,99;0,45;0,48;4,24
CPSF4L;0,00;1,04;1,45;0,40
CPSF6;1,00;0,62;0,31;4,08
CPSF7;1,00;0,80;0,13;2,31
CPT1A;0,00;0,79;0,71;3,10
CPT1B;0,00;0,98;0,74;0,84
CPT1C;0,00;0,95;0,78;1,15
CPT2;0,00;0,99;1,04;0,76
CPTP;0,00;1,28;1,75;-1,04
CPVL;0,00;1,01;0,97;0,52
CPXM1;0,00;0,96;1,08;1,08
CPXM2;0,00;0,98;0,97;0,81
CPZ;0,00;1,68;1,97;-6,69
CR1;0,00;0,91;0,77;1,89
CR1L;0,00;1,03;1,17;0,29
CR2;0,00;0,93;0,87;1,51
CRABP1;0,02;0,96;1,01;0,79
CRABP2;0,00;0,97;1,52;0,74
CRACD;0,00;1,09;0,71;-0,72
CRACDL;0,03;1,16;0,62;-1,33
CRACR2A;0,00;0,93;0,97;1,35
CRACR2B;0,00;1,46;1,72;-2,69
CRADD;0,03;0,99;1,00;0,69
CRAMP1;0,00;1,10;0,68;-0,74
CRAT;0,00;0,93;1,11;1,30
CRB1;0,00;1,00;0,78;0,64
CRB2;0,00;1,19;1,20;-2,06
CRB3;0,08;1,19;1,37;-0,18
CRBN;0,00;1,22;1,15;-0,92
CRCP;0,00;0,84;1,40;1,26
CRCT1;0,15;1,71;1,90;-1,89
CREB1;1,00;0,54;0,19;3,60
CREB3;0,00;1,03;1,15;0,36
CREB3L1;0,00;1,14;0,95;-0,60
CREB3L2;0,03;1,08;0,65;-0,05
CREB3L3;0,00;1,00;1,16;0,58
CREB3L4;0,00;0,98;0,98;0,78
CREB5;1,00;0,89;0,42;1,68
CREBBP;1,00;0,80;0,10;4,78
CREBL2;0,99;0,70;0,43;1,83
CREBRF;1,00;0,76;0,17;2,86
CREBZF;0,32;1,11;0,74;-0,27
CREG1;0,00;1,40;1,80;-1,33
CREG2;0,00;1,28;1,51;-1,03
CRELD1;0,00;0,96;0,89;0,97
CRELD2;0,00;1,11;1,12;-0,20
CRH;0,01;1,42;1,72;-1,58
CRHBP;0,00;0,84;0,77;1,79
CRHR1;0,00;0,72;0,66;2,93
CRHR2;0,00;1,08;1,22;-0,06
CRIM1;1,00;1,00;0,38;0,60
CRIP1;0,00;1,39;1,45;-0,72
CRIP2;0,00;1,72;1,55;-3,35
CRIP3;0,00;1,11;1,04;-0,01
CRIPT;0,19;1,95;1,85;-0,57
CRISP1;0,00;1,33;1,74;-1,26
CRISP2;0,00;1,22;1,09;-0,51
CRISP3;0,00;1,13;1,48;-0,01
CRISPLD1;0,00;1,04;1,05;0,29
CRISPLD2;0,00;1,29;0,87;-2,06
CRK;1,00;0,79;0,34;2,07
CRKL;1,00;0,68;0,32;2,93
CRLF1;0,00;1,01;1,05;0,53
CRLF3;0,00;0,99;0,87;0,71
CRLS1;0,00;1,64;1,91;-1,88
CRMP1;1,00;0,95;0,44;1,12
CRNKL1;1,00;0,80;0,45;2,53
CRNN;0,00;1,02;1,11;0,40
CROCC;0,00;1,20;1,17;-2,80
CROT;0,00;1,00;1,00;0,62
CRP;0,00;1,16;1,93;-0,30
CRPPA;0,00;1,39;1,46;-1,63
CRTAC1;0,00;0,90;0,77;1,66
CRTAM;0,00;0,98;1,14;0,73
CRTAP;0,00;1,39;1,25;-2,28
CRTC1;1,00;0,85;0,42;2,07
CRTC2;0,97;0,86;0,50;2,14
CRTC3;0,88;1,07;0,54;0,04
CRX;0,72;0,93;0,67;1,09
CRY1;0,00;0,85;0,73;2,05
CRY2;0,02;0,81;0,60;2,55
CRYAB;0,01;0,89;1,18;1,19
CRYBA1;0,00;0,89;0,99;1,21
CRYBA2;0,00;1,09;1,37;0,08
CRYBA4;0,00;0,92;1,24;1,07
CRYBB1;0,01;0,89;0,79;1,31
CRYBB2;0,09;0,79;0,77;1,74
CRYBB3;0,00;1,05;1,59;0,33
CRYBG1;0,00;0,98;0,86;0,95
CRYBG2;0,00;1,02;0,87;0,28
CRYBG3;0,00;0,98;0,62;0,93
CRYGA;0,00;1,20;1,25;-0,40
CRYGB;0,00;1,29;1,31;-0,65
CRYGC;0,00;1,07;0,94;0,24
CRYGD;0,00;1,10;1,80;0,10
CRYGN;0,00;1,12;1,62;0,02
CRYGS;0,02;0,95;0,88;0,86
CRYL1;0,00;1,08;1,30;0,09
CRYM;0,00;0,94;0,84;1,02
CRYZ;0,00;1,03;1,55;0,44
CRYZL1;0,11;0,97;0,81;0,73
CS;1,00;0,54;0,36;4,36
CSAD;0,00;0,98;0,97;0,78
CSDC2;0,01;1,22;1,12;-0,39
CSDE1;1,00;0,68;0,30;4,07
CSE1L;1,00;0,73;0,28;3,39
CSF1;1,00;1,01;0,34;0,49
CSF1R;0,98;0,86;0,49;2,43
CSF2;0,85;0,90;0,62;1,08
CSF2RB;0,93;0,98;0,51;0,89
CSF3;0,00;0,94;1,24;0,93
CSF3R;0,00;0,85;0,73;2,41
CSGALNACT2;0,00;0,83;0,89;1,93
CSH1;0,01;1,12;1,21;0,07
CSH2;0,01;0,87;1,09;1,22
CSHL1;0,00;1,30;1,40;-1,16
CSK;1,00;0,52;0,22;4,76
CSKMT;0,00;1,15;1,86;-0,34
CSMD1;0,00;1,56;0,59;-12,43
CSMD2;1,00;0,80;0,36;5,48
CSMD3;0,97;0,92;0,46;2,24
CSN1S1;0,00;1,45;1,82;-0,86
CSNK1A1;1,00;0,30;0,34;4,94
CSNK1A1L;0,00;1,01;1,12;0,51
CSNK1E;0,52;0,71;0,59;3,06
CSNK1G1;0,25;0,76;0,65;2,32
CSNK1G2;0,99;0,95;0,48;0,98
CSNK2A1;1,00;0,37;0,27;5,33
CSNK2A2;1,00;0,62;0,42;3,06
CSNK2A3;0,00;0,96;1,11;0,92
CSNK2B;1,00;0,44;0,24;3,78
CSNKA2IP;NA;1,02;NA;0,45
CSPG4;0,00;0,90;0,69;2,47
CSPG5;0,00;0,96;0,90;1,00
CSPP1;0,00;0,99;0,88;0,74
CSRNP1;0,77;0,94;0,61;1,21
CSRNP2;1,00;0,72;0,47;3,22
CSRNP3;1,00;0,81;0,39;2,43
CSRP1;0,00;0,93;0,91;1,02
CSRP2;0,00;0,98;1,02;0,71
CSRP3;0,00;1,03;1,31;0,47
CST1;0,00;1,54;1,96;-1,87
CST11;0,00;1,22;1,42;-0,34
CST2;0,00;1,54;1,95;-1,87
CST3;0,00;1,43;1,91;-1,06
CST4;0,00;1,51;1,87;-1,80
CST5;0,00;1,42;1,80;-1,16
CST6;0,00;1,24;1,49;-0,54
CST7;0,00;1,14;1,74;-0,05
CST8;0,00;1,32;1,95;-0,60
CST9;0,00;1,15;1,89;-0,12
CST9L;0,00;1,11;1,83;0,18
CSTA;0,12;1,25;1,22;-0,21
CSTB;0,00;1,23;1,68;-0,25
CSTF1;1,00;0,53;0,12;4,61
CSTF2T;0,10;0,86;0,65;2,00
CSTF3;1,00;0,45;0,38;5,50
CSTL1;0,00;1,08;1,54;0,27
CTAGE1;NA;1,15;NA;-0,95
CTAGE15;0,80;0,68;0,70;1,30
CTAGE4;NA;0,22;NA;2,85
CTAGE6;1,00;0,26;0,35;4,32
CTAGE8;NA;0,21;NA;2,30
CTAGE9;0,41;0,41;1,71;5,94
CTBP1;0,95;0,80;0,53;2,26
CTBP2;0,82;0,92;0,52;1,69
CTBS;0,00;1,14;1,08;-0,33
CTC1;0,00;0,96;0,78;1,10
CTCF;1,00;0,60;0,21;4,85
CTCFL;0,00;0,95;0,67;1,11
CTDNEP1;1,00;0,58;0,24;3,15
CTDP1;0,00;0,98;0,65;0,83
CTDSP1;0,09;0,90;0,69;1,26
CTDSP2;0,97;0,81;0,51;1,84
CTDSPL;1,00;0,76;0,37;2,11
CTDSPL2;1,00;1,04;0,18;0,40
CTF1;0,00;1,63;1,96;-2,24
CTH;0,00;0,99;1,08;0,67
CTHRC1;0,00;1,03;1,13;0,41
CTIF;0,99;0,95;0,49;1,11
CTLA4;1,00;0,71;0,21;2,09
CTNNA1;0,97;0,69;0,49;4,18
CTNNA2;0,98;0,74;0,49;3,69
CTNNA3;0,00;1,10;0,88;-0,48
CTNNAL1;0,00;1,03;0,90;0,33
CTNNB1;1,00;0,55;0,14;5,72
CTNNBIP1;0,01;1,17;1,29;0,03
CTNNBL1;0,01;0,78;0,65;2,56
CTNND1;1,00;0,83;0,19;2,73
CTNND2;1,00;0,86;0,23;2,51
CTNS;0,00;1,00;0,75;0,64
CTPS1;1,00;0,63;0,42;3,89
CTR9;1,00;0,66;0,37;4,78
CTRB1;0,00;1,55;1,90;-1,47
CTRB2;0,36;1,46;1,17;-1,11
CTRC;0,00;0,94;1,15;1,00
CTRL;0,00;1,01;1,37;0,52
CTSA;0,00;0,88;0,85;1,65
CTSB;0,00;1,79;1,76;-5,20
CTSC;0,00;1,14;1,05;-0,55
CTSD;0,00;0,92;0,89;1,24
CTSE;0,00;1,10;1,18;-0,20
CTSF;0,00;1,14;1,30;-0,64
CTSG;0,00;1,01;1,39;0,53
CTSH;0,00;1,07;1,27;0,11
CTSK;0,01;0,77;0,75;2,17
CTSL;0,00;0,92;0,93;1,20
CTSO;0,00;1,37;1,51;-1,47
CTSS;0,19;0,67;0,66;2,69
CTSV;0,00;1,04;1,37;0,33
CTSW;0,00;1,02;1,14;0,43
CTSZ;0,00;1,07;1,63;0,12
CTTN;0,99;0,92;0,48;1,42
CTTNBP2;0,00;0,94;0,77;1,56
CTTNBP2NL;0,00;0,88;0,99;1,70
CTU1;0,00;1,78;1,98;-4,23
CTU2;0,00;1,71;1,54;-6,00
CTXN1;0,01;1,77;1,94;-1,61
CTXN2;0,18;1,07;1,29;0,37
CTXN3;0,03;1,04;1,77;0,47
CUBN;0,00;0,98;0,76;1,00
CUEDC1;0,00;0,99;0,96;0,68
CUEDC2;1,00;0,77;0,46;2,20
CUL1;1,00;0,41;0,29;6,49
CUL2;1,00;0,74;0,31;2,56
CUL3;1,00;0,55;0,37;5,16
CUL4A;1,00;0,74;0,32;2,93
CUL5;0,98;0,57;0,51;3,65
CUL7;0,00;0,87;0,62;2,91
CUL9;1,00;0,78;0,33;5,27
CUTA;0,00;1,08;1,36;0,20
CUTC;0,00;1,05;1,22;0,32
CUX1;1,00;0,84;0,28;3,12
CUX2;1,00;0,90;0,38;2,16
CUZD1;0,00;0,96;1,07;1,01
CWC15;0,76;0,84;0,66;1,41
CWC22;0,00;0,96;0,88;0,97
CWC25;0,00;0,93;0,80;1,17
CWC27;0,00;0,97;1,18;0,75
CWF19L1;0,00;0,98;1,20;0,74
CWH43;0,00;1,06;1,31;0,11
CX3CL1;0,91;1,02;0,58;0,43
CX3CR1;0,53;0,87;1,38;1,59
CXADR;0,00;0,80;0,75;2,06
CXCL1;0,00;1,22;1,21;-0,26
CXCL10;0,10;1,11;1,00;0,19
CXCL11;0,09;1,03;1,02;0,51
CXCL13;0,74;0,91;0,78;0,85
CXCL14;0,02;0,94;0,99;0,84
CXCL16;0,00;1,02;1,04;0,52
CXCL17;0,14;1,07;1,03;0,34
CXCL2;0,00;1,12;1,60;0,15
CXCL3;0,00;1,38;1,38;-0,84
CXCL5;0,00;1,24;1,47;-0,36
CXCL6;0,00;1,26;1,92;-0,51
CXCL8;0,00;1,47;1,82;-0,81
CXCL9;0,02;1,06;1,36;0,43
CXCR1;0,39;1,00;1,75;0,61
CXCR2;0,24;0,82;1,15;1,95
CXCR4;0,97;0,73;0,51;2,61
CXCR5;0,18;0,72;1,29;2,83
CXCR6;0,01;0,81;1,48;1,98
CXXC1;1,00;0,78;0,37;3,03
CXXC4;0,97;0,85;0,50;1,64
CXXC5;1,00;0,80;0,37;2,11
CYB561;0,21;0,95;0,71;0,93
CYB561A3;0,00;0,76;0,96;2,10
CYB561D1;0,00;1,15;1,19;-0,25
CYB561D2;0,00;0,97;1,14;0,76
CYB5A;0,04;1,08;1,20;0,33
CYB5B;0,01;0,94;1,09;0,82
CYB5D1;0,00;0,94;1,58;0,95
CYB5D2;0,00;1,07;1,34;0,11
CYB5R1;0,00;0,95;1,20;0,92
CYB5R2;0,00;1,27;1,47;-1,19
CYB5R3;0,00;1,23;1,07;-1,01
CYB5R4;0,00;0,97;0,82;0,82
CYB5RL;0,00;1,03;1,33;0,39
CYBA;0,00;1,56;1,73;-2,43
CYBC1;0,00;1,14;1,56;-0,12
CYBRD1;0,00;0,97;0,94;0,84
CYC1;0,85;1,18;0,58;-0,61
CYCS;0,98;0,80;0,34;1,38
CYFIP1;1,00;0,82;0,44;3,15
CYFIP2;1,00;0,55;0,27;6,94
CYGB;0,00;0,99;1,06;0,65
CYHR1;0,01;0,68;1,16;2,19
CYLC2;0,00;1,33;1,61;-1,63
CYLD;1,00;0,64;0,33;4,71
CYP11A1;0,00;0,86;0,70;1,89
CYP11B1;0,00;1,09;0,92;-0,26
CYP11B2;0,00;1,07;1,01;0,01
CYP17A1;0,00;0,89;1,25;1,34
CYP19A1;0,02;0,90;0,79;1,21
CYP1A1;0,00;0,99;1,47;0,69
CYP1A2;0,00;1,02;1,36;0,41
CYP1B1;0,00;1,28;1,09;-2,09
CYP20A1;0,00;1,07;1,61;0,17
CYP21A2;0,00;0,84;0,91;1,81
CYP24A1;0,00;1,25;1,51;-1,13
CYP26A1;0,00;1,11;1,43;-0,24
CYP26B1;1,00;0,93;0,37;1,28
CYP26C1;0,00;1,46;1,82;-3,31
CYP27A1;0,00;1,05;1,04;0,11
CYP27B1;0,00;1,04;1,10;0,26
CYP27C1;0,00;0,83;0,95;1,93
CYP2A13;0,00;1,18;0,99;-1,00
CYP2A6;0,00;1,07;0,88;-0,05
CYP2A7;0,00;1,15;1,16;-0,67
CYP2B6;0,00;1,04;1,04;0,28
CYP2C18;0,00;1,11;1,16;-0,30
CYP2C19;0,00;1,34;1,67;-2,28
CYP2C8;0,00;1,14;1,50;-0,60
CYP2C9;0,00;1,31;1,61;-2,00
CYP2D6;0,00;1,22;1,71;-1,32
CYP2E1;0,00;0,91;0,91;1,41
CYP2F1;0,00;0,96;1,16;0,92
CYP2J2;0,00;1,06;1,06;0,08
CYP2R1;0,00;1,02;1,11;0,39
CYP2S1;0,00;0,92;0,99;1,33
CYP2U1;0,00;1,05;0,98;0,13
CYP2W1;0,00;1,34;1,84;-2,29
CYP39A1;0,00;1,02;1,09;0,49
CYP3A4;0,00;0,86;0,82;1,76
CYP3A43;0,00;1,00;0,96;0,59
CYP3A5;0,00;0,92;1,03;1,32
CYP3A7;0,00;0,94;1,03;1,17
CYP46A1;0,98;0,75;0,50;2,87
CYP4A11;0,00;1,06;1,12;0,12
CYP4A22;0,00;0,91;1,07;1,39
CYP4B1;0,00;1,03;1,02;0,36
CYP4F11;0,00;1,16;1,47;-0,90
CYP4F12;0,00;1,07;1,31;-0,08
