gene;pLI;oe_mis_upper;oe_lof_upper;mis_z
DLG5;1,00;0,83;0,26;2,59
PHF8;1,00;0,52;0,26;3,98
DDX4;1,00;0,78;0,26;2,05
OPN1LW;0,98;1,03;0,26;0,47
PPP2CA;0,99;0,19;0,26;4,15
PTGS2;1,00;0,70;0,26;2,48
TPP2;1,00;0,63;0,26;3,86
HUNK;1,00;0,81;0,26;1,90
AP1B1;1,00;0,70;0,26;3,12
AP2B1;1,00;0,41;0,26;5,17
CBFA2T2;1,00;0,71;0,26;2,48
ARHGAP5;1,00;0,83;0,26;2,21
DBN1;1,00;0,99;0,26;0,67
MSI1;0,99;0,55;0,26;2,80
TENM3;1,00;0,80;0,26;3,30
FCHO1;1,00;0,90;0,26;1,40
HSPH1;1,00;0,84;0,26;1,72
ST7;1,00;0,53;0,26;3,38
TEAD3;0,99;0,60;0,26;2,76
ITGB8;1,00;0,95;0,26;0,93
SMAP1;0,99;0,90;0,26;1,10
CCNL1;1,00;0,66;0,26;2,60
SLC9A7;0,99;0,73;0,26;2,12
EYA3;1,00;0,77;0,26;1,94
VRTN;0,99;0,85;0,26;1,67
CTDNEP1;0,97;0,50;0,26;2,54
RRAS2;0,97;0,66;0,26;1,78
NFATC3;1,00;1,01;0,26;0,49
FBXO38;1,00;0,74;0,27;2,81
MORF4L1;0,99;0,79;0,27;1,59
CHRM4;0,97;0,64;0,27;2,73
HECTD2;1,00;0,47;0,27;4,11
SBF1;1,00;1,01;0,27;0,53
SLC44A1;1,00;0,82;0,27;1,73
NKD1;0,99;0,96;0,27;0,83
GNB2;0,99;0,47;0,27;3,21
FAM135A;1,00;0,92;0,27;1,33
ARPC4;0,97;0,51;0,27;2,21
NMNAT2;0,99;0,67;0,27;2,10
NMT1;1,00;0,67;0,27;2,48
ERBB4;1,00;0,85;0,27;2,01
SESTD1;1,00;0,73;0,27;2,31
ATRNL1;1,00;0,86;0,27;1,91
PAPOLG;1,00;0,76;0,27;2,20
DIP2B;1,00;0,75;0,27;3,18
GIT2;1,00;0,76;0,27;2,34
NCOA6;1,00;0,97;0,27;0,95
AMOT;1,00;0,93;0,27;1,09
PSIP1;1,00;1,09;0,27;0,11
PDHA1;0,99;0,55;0,27;2,57
CBLB;1,00;0,91;0,27;1,29
EDA;0,97;0,71;0,27;1,78
SLC4A8;1,00;0,59;0,27;4,06
HDGFRP3;0,97;0,70;0,27;1,57
RABEP1;1,00;0,82;0,27;1,86
IWS1;1,00;0,75;0,27;2,38
AGAP2;1,00;0,68;0,27;3,39
TP63;1,00;0,77;0,27;2,21
SLC7A1;0,99;0,60;0,27;3,30
FOXO3;0,99;0,84;0,27;1,68
ZIC2;0,97;0,49;0,27;3,21
ROR1;1,00;0,80;0,27;2,17
SMAD1;0,99;0,69;0,27;2,28
PPARGC1A;1,00;0,94;0,27;1,00
MMP14;1,00;0,86;0,27;1,48
SRGAP1;1,00;0,81;0,27;2,21
CNNM2;1,00;0,50;0,27;4,41
MEGF9;0,99;0,85;0,27;1,43
GANAB;1,00;0,80;0,27;2,24
RBL2;1,00;0,92;0,27;1,23
RPS6KA4;1,00;0,60;0,27;3,70
LRFN3;0,97;0,77;0,27;2,24
APEX2;0,97;1,01;0,27;0,56
MBD1;1,00;0,79;0,27;1,99
HSPD1;0,99;0,72;0,27;2,26
MPP1;0,99;0,76;0,27;1,67
STX1B;0,99;0,47;0,27;2,94
ACRC;0,99;0,97;0,27;0,74
SWT1;1,00;0,87;0,27;1,49
LPCAT3;1,00;0,66;0,27;2,45
ATP6V0A1;1,00;0,58;0,27;3,74
ATP6V0D1;0,99;0,53;0,27;2,93
CPE;0,99;0,77;0,27;1,82
DPP8;1,00;0,77;0,27;2,36
PPP1R13B;1,00;0,89;0,27;1,53
RALA;0,97;0,37;0,27;2,70
TERF2;0,99;0,73;0,27;2,07
SAE1;0,99;1,01;0,27;0,56
INHBB;0,97;0,68;0,27;2,19
WNT5A;0,99;0,74;0,27;1,98
TRIM39;0,99;0,46;0,27;3,79
L3MBTL3;1,00;0,85;0,27;1,64
GPRASP2;0,99;0,98;0,27;0,71
LSAMP;0,99;0,79;0,27;1,57
SRPK2;1,00;0,67;0,27;2,81
PABPC1;1,00;0,40;0,27;4,49
FOXJ3;1,00;0,88;0,27;1,31
NABP2;0,97;0,72;0,27;1,63
GRHL2;1,00;0,79;0,27;1,93
GTF2I;1,00;0,56;0,27;3,08
FGFR2;1,00;0,75;0,27;2,40
HNRNPH3;0,99;0,59;0,27;2,57
TRIM2;1,00;0,59;0,27;3,57
TGFB3;0,99;0,79;0,27;1,66
SLC8A1;1,00;0,80;0,27;2,20
APPBP2;1,00;0,58;0,27;3,09
HSP90B1;1,00;0,78;0,27;2,12
RAB10;0,97;0,39;0,27;2,63
FBXO28;0,99;0,65;0,27;2,27
SUGP1;1,00;0,91;0,27;1,21
CHAMP1;0,99;1,06;0,27;0,14
ODF1;0,97;0,98;0,27;0,68
LSM12;0,97;0,60;0,27;1,89
MCMBP;1,00;0,78;0,27;1,98
MYO16;1,00;0,96;0,27;1,03
ADCY1;1,00;0,57;0,27;4,38
DCAF15;0,99;0,75;0,27;2,27
FRYL;1,00;0,83;0,27;2,96
RPL15;0,97;0,66;0,27;1,83
COPS6;0,99;0,63;0,27;2,31
PKNOX2;0,99;0,81;0,27;1,63
RBPMS;0,97;0,69;0,27;1,72
RPS10;0,97;0,80;0,27;1,24
TCF7L2;1,00;0,72;0,27;2,40
ATAD2;1,00;0,88;0,27;1,66
SPRY2;0,97;0,91;0,27;0,97
PLXNC1;1,00;0,66;0,27;3,98
SLC4A4;1,00;0,69;0,27;3,14
OMG;0,97;0,85;0,27;1,32
GMDS;0,99;0,75;0,27;1,82
TAF7L;0,99;1,10;0,27;0,14
BANP;0,99;0,71;0,27;2,43
CDC27;1,00;0,61;0,27;3,20
RFX1;1,00;0,75;0,27;2,69
DPYSL2;0,99;0,49;0,27;3,88
SPIN1;0,97;0,33;0,27;3,25
PPP1CA;0,99;0,44;0,27;3,26
TAOK1;1,00;0,47;0,27;4,82
FBXO42;1,00;0,78;0,27;2,09
FBXO45;0,97;0,55;0,27;2,34
KCNH2;1,00;0,69;0,27;3,37
LMX1A;0,99;0,92;0,27;1,00
OGDH;1,00;0,52;0,27;4,76
SLTM;1,00;0,77;0,27;2,53
FMN2;1,00;1,03;0,27;0,32
ADD2;1,00;0,79;0,27;2,10
KCNN2;0,99;0,72;0,27;2,29
VWC2;0,97;0,75;0,27;1,67
ERP44;0,99;0,65;0,27;2,29
IQGAP1;1,00;0,82;0,28;2,44
QRICH1;1,00;0,55;0,28;3,71
SSRP1;1,00;0,50;0,28;4,04
EIF3G;0,99;0,68;0,28;2,17
RQCD1;0,99;0,37;0,28;3,28
FAM193B;0,99;0,96;0,28;0,83
DAPK1;1,00;0,81;0,28;2,57
AFF2;1,00;0,89;0,28;1,41
TARDBP;0,99;0,39;0,28;3,71
ADAM23;1,00;0,82;0,28;1,90
MTMR12;1,00;0,75;0,28;2,30
NR0B1;0,97;0,89;0,28;1,08
PTK7;1,00;0,81;0,28;2,24
ZNF770;0,99;0,96;0,28;0,84
FHL1;0,97;0,92;0,28;0,89
RPS3A;0,97;0,58;0,28;2,23
PSMB1;0,97;0,93;0,28;0,87
NASP;1,00;1,00;0,28;0,61
ARID3A;0,99;0,90;0,28;1,27
RBM15;0,99;0,86;0,28;1,77
GNA12;0,97;0,70;0,28;2,09
ARHGAP26;1,00;0,79;0,28;2,11
DCUN1D1;0,99;0,63;0,28;1,98
KDM1A;1,00;0,43;0,28;4,68
KCNMA1;1,00;0,50;0,28;5,06
XPOT;1,00;0,81;0,28;2,05
SETD8;0,99;0,69;0,28;2,02
INTS2;1,00;0,80;0,28;2,26
AC005358,1;0,99;1,01;0,28;0,56
GRHL3;0,99;0,87;0,28;1,42
PRR14L;1,00;0,84;0,28;2,47
BAP1;0,99;0,71;0,28;2,64
PSPC1;0,99;0,67;0,28;2,53
ARNTL;0,99;0,63;0,28;2,92
ZFHX2;1,00;0,81;0,28;2,95
GTF2A1;0,99;0,66;0,28;2,13
CEP170B;1,00;0,97;0,28;0,88
HAS2;0,99;0,61;0,28;2,79
PDZD2;1,00;0,92;0,28;1,69
PRICKLE2;1,00;0,85;0,28;1,72
RAB7A;0,97;0,51;0,28;2,28
SIK2;1,00;0,75;0,28;2,55
FAM196B;0,98;0,80;0,28;1,71
TESK1;0,99;0,85;0,28;1,61
CTBP1;0,98;0,52;0,28;3,31
AGFG1;0,99;0,82;0,28;1,66
SART3;1,00;0,97;0,28;0,81
PSMA3;0,98;0,70;0,28;1,76
SLC39A10;0,99;0,81;0,28;1,95
ATP6V0B;0,97;0,66;0,28;1,81
SSH2;1,00;0,86;0,28;1,95
FOXJ1;0,97;0,98;0,28;0,70
ZNF710;0,99;0,75;0,28;2,42
FYN;0,99;0,42;0,28;4,03
CNP;0,98;0,67;0,28;2,43
PACS2;1,00;0,80;0,28;2,24
RAPGEF6;1,00;0,90;0,28;1,56
CLCN5;0,99;0,68;0,28;2,53
PIK3C2B;1,00;0,82;0,28;2,55
ARNT;1,00;0,77;0,28;2,24
TLN2;0,99;0,94;0,28;1,41
NRIP1;0,99;1,13;0,28;-0,46
RYR3;0,71;0,93;0,28;1,84
KCND3;0,99;0,54;0,28;3,85
LRCH1;1,00;0,88;0,28;1,39
PTPN4;1,00;0,72;0,28;2,65
ZNF182;0,98;0,80;0,28;1,57
ASB7;0,98;0,41;0,28;3,27
YEATS2;1,00;0,96;0,28;0,97
STRN4;0,99;0,77;0,28;2,29
CUL9;0,99;0,81;0,28;3,10
NAA15;1,00;0,54;0,28;3,81
DCAF8;1,00;0,69;0,28;2,80
EML1;1,00;0,75;0,28;2,45
RBBP7;0,98;0,50;0,28;2,79
FLI1;0,99;0,68;0,28;2,40
TMEM185B;0,97;0,76;0,28;1,71
ADAM17;1,00;0,74;0,28;2,45
DENND4A;1,00;0,71;0,28;3,67
IVNS1ABP;0,99;0,63;0,28;2,89
FIGN;0,99;0,92;0,28;1,16
MICAL3;0,99;0,90;0,28;1,75
CRMP1;0,99;0,72;0,28;2,41
AHCYL1;0,99;0,42;0,28;4,02
KCNA4;0,98;0,78;0,28;2,03
TBX3;0,99;0,84;0,28;1,73
SLC1A3;0,99;0,80;0,28;1,79
EHD1;0,98;0,76;0,28;2,10
PLCG2;1,00;0,98;0,28;0,82
CDK6;0,98;0,45;0,28;3,06
COL12A1;0,97;0,89;0,28;2,11
USP10;0,99;1,17;0,28;-0,67
BCL11B;0,99;0,48;0,28;4,71
DBF4;0,99;0,94;0,28;0,98
MFN2;0,99;0,85;0,28;1,66
RIBC1;0,98;0,90;0,28;1,01
PLS3;0,99;0,57;0,28;2,71
ARIH2;0,99;0,48;0,28;3,58
PYGO2;0,97;0,89;0,28;1,10
DCC;0,99;1,02;0,28;0,37
CDC42BPA;0,99;0,82;0,28;2,39
LASP1;0,98;0,64;0,28;2,21
DIAPH2;0,99;0,81;0,28;1,83
SP4;0,99;1,03;0,28;0,40
KIAA1429;0,99;0,79;0,28;2,77
FZD5;0,98;0,64;0,28;3,00
SHE;0,99;0,97;0,28;0,77
RND3;0,97;0,73;0,28;1,65
ATF2;0,99;0,68;0,28;2,35
DDX1;0,99;0,82;0,28;1,82
LEPR;0,99;0,90;0,28;1,42
CLUH;0,99;0,88;0,28;1,84
PPP6R3;0,99;0,87;0,28;1,54
ST18;0,99;1,04;0,28;0,25
RPL18;0,97;0,67;0,28;1,85
MAP4K5;0,99;0,78;0,28;2,06
RAC2;0,97;0,44;0,28;2,59
PSMA1;0,98;0,67;0,28;1,89
PSMA2;0,98;0,54;0,28;2,26
PTP4A2;0,97;0,52;0,28;2,07
PTCHD1;0,98;0,77;0,28;2,00
AMD1;0,98;0,63;0,28;2,24
AF196779,12;0,97;0,63;0,28;2,00
BRINP1;0,99;0,89;0,28;1,42
PUM2;0,99;0,76;0,28;2,59
ERBB2IP;0,99;0,97;0,29;0,89
PLXNB2;0,99;0,77;0,29;3,36
TSHZ3;0,99;0,86;0,29;1,83
PSAP;0,99;1,19;0,29;-0,52
SP8;0,97;0,79;0,29;1,69
CBX4;0,98;0,76;0,29;2,22
C9orf172;0,99;0,73;0,29;2,80
CHUK;0,99;0,68;0,29;2,78
GRM4;0,99;0,76;0,29;2,68
DPF1;0,99;0,54;0,29;3,07
GTF3C2;0,99;0,78;0,29;2,29
RAB11FIP4;0,99;0,71;0,29;2,49
E2F7;0,99;0,86;0,29;1,63
NISCH;0,99;0,84;0,29;2,30
ZCCHC2;0,99;1,02;0,29;0,45
EIF5;0,99;0,82;0,29;1,56
RIMS1;0,99;0,87;0,29;2,01
SENP1;0,99;0,77;0,29;2,00
GRIK5;0,99;0,67;0,29;3,36
IRAK1;0,99;0,75;0,29;1,99
KIF5B;0,99;0,68;0,29;3,06
ZFP36L2;0,97;1,45;0,29;-1,84
GALNT13;0,99;0,88;0,29;1,27
LOX;0,99;0,99;0,29;0,65
PAK3;0,99;0,39;0,29;3,53
IRS2;0,99;0,79;0,29;2,53
PHF3;0,99;0,99;0,29;0,76
PTPRZ1;0,99;0,98;0,29;0,85
IKZF2;0,99;0,86;0,29;1,40
REST;0,99;0,98;0,29;0,78
UBE2D2;0,97;0,15;0,29;2,96
ARRDC3;0,99;0,75;0,29;1,87
DLG1;0,99;0,88;0,29;1,50
TMEM201;0,99;0,90;0,29;1,33
CTPS1;0,99;0,49;0,29;3,69
MEF2A;0,99;0,83;0,29;1,54
MYO18A;0,99;0,85;0,29;2,45
DDX3Y;0,96;0,57;0,29;2,10
KCNJ4;0,96;0,45;0,29;3,97
DLGAP4;0,99;0,75;0,29;2,76
KIF3C;0,99;0,77;0,29;2,36
SYT2;0,98;0,74;0,29;1,98
UBE2I;0,96;0,17;0,29;3,10
TNRC18;0,99;1,06;0,29;-0,26
SIPA1L2;0,99;0,92;0,29;1,46
RC3H1;0,99;0,74;0,29;2,79
PITPNB;0,98;0,55;0,29;2,15
ATP6V1B2;0,99;0,67;0,29;2,49
RAPGEF4;0,99;0,85;0,29;1,83
KLF12;0,98;0,77;0,29;1,79
TOP2A;0,99;0,64;0,29;4,04
SFRP1;0,96;0,84;0,29;1,31
LHX9;0,98;0,91;0,29;1,08
FBXL3;0,98;0,56;0,29;2,83
BAZ2B;0,98;0,94;0,29;1,33
EPB41L2;0,99;0,99;0,29;0,69
GK;0,99;0,46;0,29;3,19
FAM60A;0,96;0,57;0,29;2,08
FMNL2;0,99;0,72;0,29;2,86
ULK1;0,99;0,95;0,29;1,07
MLLT1;0,99;0,66;0,29;2,69
NSDHL;0,96;0,93;0,29;0,87
RYK;0,99;0,78;0,29;1,81
CACNG8;0,96;0,60;0,29;2,34
CDC23;0,99;0,64;0,29;2,78
CXorf22;0,99;1,08;0,29;0,10
HNRNPF;0,96;0,55;0,29;2,94
C16orf72;0,98;0,67;0,29;1,95
CNTNAP5;0,99;1,02;0,29;0,39
DHX37;0,99;0,87;0,29;1,83
YWHAG;0,96;0,43;0,29;2,95
ZBTB10;0,99;0,80;0,29;2,02
CMTR1;0,99;0,64;0,29;3,32
NRK;0,99;0,99;0,29;0,66
NF1;0,90;0,55;0,29;6,54
TFE3;0,98;0,69;0,29;2,15
PDPK1;0,98;0,67;0,29;2,01
CDH2;0,99;0,81;0,29;2,09
DENND4B;0,99;0,74;0,29;3,23
IKBKB;0,99;0,72;0,29;2,59
UBE2E2;0,96;0,51;0,29;2,29
CYP26B1;0,98;0,93;0,29;1,05
AHCYL2;0,99;0,64;0,29;2,74
MAP7D1;0,99;0,95;0,29;1,00
FST;0,98;0,62;0,29;2,33
MCL1;0,96;1,20;0,29;-0,36
ARNT2;0,99;0,81;0,29;1,98
LDB1;0,99;0,59;0,29;2,81
DNAJC7;0,99;0,66;0,29;2,51
ZZEF1;0,83;0,97;0,29;1,05
SLC6A6;0,99;0,57;0,29;3,39
GMEB1;0,99;0,70;0,29;2,37
SLC40A1;0,99;0,78;0,29;1,92
GTF2H1;0,99;0,79;0,29;1,80
RAB3GAP2;0,99;0,97;0,29;0,87
AR;0,99;0,90;0,29;1,23
SRSF3;0,96;0,25;0,29;3,07
RCOR3;0,99;0,64;0,29;2,72
ZNF331;0,98;0,73;0,29;2,08
GNAZ;0,96;0,47;0,29;3,35
IGFBP5;0,96;0,75;0,29;1,63
FAM50A;0,98;0,39;0,29;3,02
RBM47;0,98;0,72;0,29;2,59
CREB3L1;0,98;0,94;0,29;0,95
PGD;0,99;0,86;0,29;1,40
UPF3B;0,98;0,72;0,29;1,84
DNAJC2;0,99;0,84;0,29;1,52
BEND4;0,98;0,90;0,29;1,10
GATA2;0,98;0,75;0,29;2,04
SPATA2;0,98;0,99;0,29;0,68
TUBB;0,98;0,09;0,29;5,63
TSPAN14;0,98;0,63;0,29;2,21
RAI14;0,99;0,87;0,29;1,62
SCML1;0,96;0,55;0,29;2,27
PPM1E;0,99;0,69;0,29;2,66
DLX1;0,96;0,69;0,29;1,82
STIM2;0,99;0,90;0,29;1,25
PPEF1;0,99;0,74;0,29;1,94
EEF1A1;0,98;0,42;0,29;3,72
TRIM3;0,99;0,59;0,29;3,71
STX1A;0,98;0,61;0,29;2,40
ARHGEF17;0,98;0,99;0,29;0,75
ERN1;0,99;0,79;0,29;2,27
FAM160A2;0,99;0,93;0,29;1,16
RPL9;0,96;0,71;0,29;1,59
SPEG;0,92;0,86;0,29;2,78
FBXO3;0,99;0,72;0,29;2,15
SATB1;0,99;0,52;0,29;3,98
PPP2R2B;0,98;0,70;0,29;2,25
TERT;0,99;0,53;0,29;4,88
PRLR;0,99;0,99;0,29;0,68
KAT2B;0,99;0,77;0,29;2,24
MLXIP;0,99;0,79;0,29;2,25
AKAP13;0,93;1,16;0,29;-1,64
PHF21B;0,99;0,99;0,29;0,64
IL1RAPL2;0,98;0,73;0,29;2,00
ERC2;0,99;0,79;0,29;2,22
ZNRF3;0,99;0,95;0,29;0,98
ATP13A1;0,99;0,78;0,29;2,66
IKZF3;0,98;0,74;0,29;2,14
UVRAG;0,99;0,86;0,29;1,49
OPA1;0,99;0,83;0,29;1,97
MYO5A;0,94;0,77;0,30;3,10
RBM20;0,99;0,88;0,30;1,67
CDH8;0,99;0,75;0,30;2,42
KIAA1549;0,99;1,06;0,30;-0,09
LARGE;0,99;0,81;0,30;1,99
MAP4K1;0,99;0,66;0,30;3,13
RGS19;0,96;0,88;0,30;1,06
ATG5;0,98;0,69;0,30;1,82
GOLGA2;0,99;0,96;0,30;0,90
HNRNPC;0,98;0,48;0,30;2,89
PURG;0,96;0,79;0,30;1,55
RPS6KA6;0,99;0,75;0,30;1,87
KCNV1;0,98;0,39;0,30;4,07
SEC61A1;0,99;0,38;0,30;4,06
TSC22D4;0,96;0,92;0,30;1,00
STAT6;0,99;0,76;0,30;2,41
FBXO22;0,98;0,95;0,30;0,84
ELF3;0,98;0,75;0,30;1,88
NDEL1;0,98;0,77;0,30;1,66
PIGA;0,96;0,65;0,30;2,17
SH3PXD2A;0,99;0,89;0,30;1,56
PPAT;0,99;0,56;0,30;3,06
AP3D1;0,99;0,86;0,30;1,94
BCR;0,99;0,97;0,30;0,89
PLCB1;0,98;0,63;0,30;3,83
KCMF1;0,98;0,58;0,30;2,68
RPL11;0,96;0,66;0,30;1,69
SETX;0,95;1,05;0,30;-0,11
ZNF532;0,99;0,78;0,30;2,68
ADD1;0,99;0,97;0,30;0,80
EFNA5;0,96;0,76;0,30;1,52
NUP188;0,95;0,95;0,30;1,12
SCAMP1;0,98;0,57;0,30;2,42
SLC38A5;0,98;0,59;0,30;2,44
RTN4RL1;0,96;0,84;0,30;1,47
SYNPO;0,99;0,96;0,30;0,93
CSNK2A1;0,99;0,37;0,30;3,71
SEC62;0,98;0,75;0,30;1,78
C18orf8;0,99;0,83;0,30;1,74
CYP46A1;0,99;0,59;0,30;2,97
RTN1;0,99;0,95;0,30;0,95
HDAC8;0,98;0,44;0,30;2,82
TBX22;0,98;1,15;0,30;-0,13
LATS2;0,99;0,82;0,30;2,21
C2CD2L;0,99;0,83;0,30;1,78
PWWP2A;0,98;0,74;0,30;2,35
GDF11;0,98;0,53;0,30;2,98
PSMD14;0,98;0,26;0,30;3,57
HSF5;0,98;0,68;0,30;2,60
SEPHS1;0,98;0,49;0,30;3,24
DPP9;0,99;0,74;0,30;2,66
C7orf26;0,98;1,21;0,30;-0,57
H2AFY2;0,98;0,55;0,30;2,92
SF3A1;0,99;0,50;0,30;4,16
CALCRL;0,99;0,71;0,30;2,09
ARF4;0,96;0,52;0,30;2,11
CNBP;0,96;0,48;0,30;2,38
ZBTB34;0,98;0,62;0,30;2,81
CSMD3;0,06;0,96;0,30;1,14
GON4L;0,95;0,91;0,30;1,65
SMG6;0,98;1,04;0,30;0,18
SRSF7;0,98;0,47;0,30;2,72
ETV3;0,98;0,71;0,30;2,30
KIAA1239;0,98;0,60;0,30;4,77
FAR1;0,99;0,52;0,30;3,30
SLC4A2;0,99;0,76;0,30;2,97
RTN4R;0,96;0,91;0,30;1,13
NRP1;0,99;0,88;0,30;1,56
FOSB;0,98;0,80;0,30;1,55
REXO1;0,99;1,08;0,30;-0,20
RELL1;0,96;0,88;0,30;1,12
PTGER4;0,98;0,72;0,30;2,21
HP1BP3;0,98;0,72;0,30;2,21
MALT1;0,99;0,66;0,30;2,84
BAHD1;0,99;0,91;0,30;1,31
PPP2R5B;0,98;0,68;0,30;2,46
AKAP11;0,98;1,03;0,30;0,31
EOMES;0,98;0,96;0,30;0,86
RRAGC;0,98;0,62;0,30;2,46
PSMB5;0,96;0,89;0,30;1,04
ANTXR1;0,99;0,85;0,30;1,52
SRF;0,98;0,59;0,30;2,79
REPS1;0,99;0,84;0,30;1,70
TOPAZ1;0,98;0,86;0,30;1,90
SND1;0,98;0,65;0,30;3,39
ILKAP;0,98;0,68;0,30;2,21
DAG1;0,98;1,00;0,30;0,63
PIAS3;0,98;0,94;0,30;1,00
ZNF24;0,98;0,69;0,30;2,05
CCT7;0,98;0,72;0,30;2,26
CPEB4;0,99;0,61;0,30;3,31
SKIL;0,99;0,95;0,30;0,93
DOCK4;0,83;0,83;0,30;2,52
ELL;0,99;0,93;0,30;1,03
KLHL29;0,99;0,64;0,30;3,40
CTC-432M15,3;0,96;0,91;0,30;1,55
GNAQ;0,98;0,35;0,30;3,66
IRX5;0,97;0,96;0,30;0,83
KIAA0922;0,96;0,99;0,30;0,69
SNX2;0,98;1,00;0,30;0,60
HSPA12A;0,98;0,78;0,30;2,12
CYFIP1;0,97;0,78;0,30;2,65
TWF2;0,98;0,90;0,30;1,08
MPRIP;0,98;0,86;0,30;1,81
FOXF1;0,96;0,90;0,30;1,09
MAP3K3;0,99;0,79;0,30;2,04
LPGAT1;0,98;0,61;0,30;2,39
FAM171A1;0,99;1,02;0,30;0,44
PRPF31;0,98;0,59;0,30;3,05
DYNC1LI2;0,98;0,77;0,30;1,89
ABHD17C;0,96;0,40;0,30;3,14
CHMP4B;0,96;0,52;0,30;2,38
NCAPG2;0,98;0,84;0,30;1,94
EGLN1;0,97;0,67;0,30;2,15
RS1;0,96;0,89;0,30;0,97
CS;0,98;0,49;0,30;3,33
UBQLN4;0,98;0,64;0,30;2,88
PCGF5;0,98;0,53;0,30;2,39
CSTF3;0,98;0,34;0,30;4,94
GGT7;0,98;0,75;0,30;2,30
SEL1L;0,98;0,74;0,30;2,41
PRMT8;0,98;0,44;0,30;3,46
PDZRN3;0,98;1,07;0,30;-0,01
SUCO;0,97;0,94;0,30;1,08
PPP2R1A;0,98;0,40;0,30;4,46
GAB2;0,98;1,18;0,30;-0,62
GLRA2;0,97;0,52;0,30;2,70
MID1;0,98;0,59;0,30;2,92
PSMB3;0,96;0,76;0,30;1,51
EEA1;0,93;0,91;0,30;1,38
MYO9A;0,49;0,91;0,30;1,74
MYT1;0,98;0,78;0,30;2,56
PPP6R1;0,98;1,07;0,30;0,04
SPRTN;0,97;0,97;0,30;0,74
TIAM1;0,96;0,90;0,30;1,70
WDFY4;0,34;0,82;0,30;3,12
GLTSCR1;0,98;0,80;0,30;2,54
PANK4;0,98;0,76;0,30;2,42
TLR7;0,98;0,63;0,31;3,01
MYH11;0,77;0,93;0,31;1,44
RAPGEF5;0,98;0,84;0,31;1,64
ANKRD50;0,98;0,99;0,31;0,70
BICD2;0,98;0,80;0,31;2,21
FGF17;0,96;0,69;0,31;1,85
ANAPC1;0,95;0,96;0,31;0,99
RFC1;0,97;0,91;0,31;1,38
MET;0,97;0,86;0,31;1,92
ZNF711;0,98;0,68;0,31;2,40
SENP2;0,98;0,79;0,31;1,87
KIT;0,98;0,75;0,31;2,58
SMS;0,97;0,56;0,31;2,32
CDC34;0,96;0,69;0,31;1,83
C3;0,90;0,80;0,31;2,75
CNOT10;0,98;0,83;0,31;1,78
ATXN1L;0,98;0,93;0,31;1,08
NR6A1;0,98;0,77;0,31;1,83
KLHL10;0,98;0,67;0,31;2,72
VDAC1;0,97;0,83;0,31;1,33
LRRC4C;0,97;0,70;0,31;2,52
IGF1R;0,97;0,78;0,31;2,73
ITGB1;0,98;0,59;0,31;3,46
COL11A2;0,70;0,83;0,31;2,37
GABRB1;0,98;0,63;0,31;2,65
ADCY9;0,98;0,93;0,31;1,25
KCNQ5;0,98;0,64;0,31;3,32
INPP5D;0,97;0,61;0,31;4,15
FOXP4;0,98;0,80;0,31;1,95
RP2;0,96;0,99;0,31;0,63
ACSL4;0,98;0,63;0,31;2,59
PARD3;0,96;0,95;0,31;1,04
SS18L1;0,98;0,82;0,31;1,57
INF2;0,97;0,82;0,31;2,31
KCNK9;0,96;0,56;0,31;2,90
SEMA3A;0,98;0,84;0,31;1,75
AGPAT1;0,97;0,54;0,31;2,61
HOXA13;0,96;1,01;0,31;0,56
TSHZ2;0,98;1,00;0,31;0,60
RPL8;0,96;0,73;0,31;1,75
TDRD5;0,97;0,84;0,31;1,90
DRD1;0,96;0,69;0,31;2,26
LYST;0,02;0,95;0,31;1,41
UNC80;0,05;0,66;0,31;5,53
NAF1;0,98;1,17;0,31;-0,31
PDE4A;0,98;0,77;0,31;2,42
MITF;0,98;0,85;0,31;1,47
CENPE;0,24;0,94;0,31;1,27
INPP5A;0,98;0,78;0,31;1,78
AHNAK;0,90;1,18;0,31;-2,97
ATL1;0,98;0,65;0,31;2,63
C16orf70;0,98;0,80;0,31;1,60
SPDEF;0,97;0,96;0,31;0,80
NKTR;0,94;0,92;0,31;1,32
CLSTN1;0,98;0,95;0,31;1,02
SCN5A;0,91;0,82;0,31;2,75
GRIN1;0,98;0,32;0,31;6,22
HSPE1-MOB4;0,97;0,41;0,31;2,77
MCM6;0,98;0,93;0,31;1,07
SNPH;0,97;0,85;0,31;1,51
OTUB1;0,97;0,62;0,31;2,20
RNF145;0,98;0,53;0,31;3,59
MTSS1L;0,98;0,98;0,31;0,74
RPS7;0,95;0,70;0,31;1,63
NAMPT;0,98;0,55;0,31;2,97
HIF1A;0,98;0,77;0,31;2,22
XAB2;0,97;0,84;0,31;1,94
PTPRK;0,90;0,74;0,31;3,17
HNRNPH2;0,95;0,31;0,31;3,62
PCDHGC4;0,98;0,83;0,31;1,97
ATP5B;0,98;0,56;0,31;3,17
TBL1X;0,98;0,64;0,31;2,48
ZBTB17;0,98;0,60;0,31;3,73
GLI2;0,97;0,98;0,31;0,82
DCAF12L1;0,95;0,64;0,31;2,41
OSBPL9;0,98;0,69;0,31;2,66
CDC40;0,98;0,65;0,31;2,67
MAGEE1;0,97;0,87;0,31;1,44
NODAL;0,97;0,92;0,31;0,97
ABHD8;0,97;0,80;0,31;1,80
EIF2S1;0,97;0,48;0,31;2,86
EIF3F;0,97;1,14;0,31;-0,11
NLGN3;0,98;0,45;0,31;4,21
